Year,Nest.ID,Spec,Field,Ref,Date,Julian,Visit_Interval,expos,Survive (evi),survive,trials,Egg,Landscape,Dist,GRASS,MCM,Dist.Edge,Nht,Robel,DeadVeg,Forb,Area,PeriAreaR,C.Man,Y.Man,MeanPC1,MeanPC2,SDPC1,Ag.Edge,For.Edge,Grass.100,For.1600,Grass.1600,TE.1600
2011,DM2-RWBL1,RWBL,DM-2,1/1/2011,6/7/2011,-0.439346418,1,4,SURVIVE,1,1,NTLG,BH,Control,Brome,Disk,-0.50617969,-1.316596458,0.187072968,1.744711695,1.282102354,0.636754699,0.909693672,-1.079570571,-1.069360963,1.267737417,0.487599532,0.441859906,-0.001935479,1.376946722,-0.030451017,-0.824141242,-0.690729368,0.154625629
2011,DM2-RWBL10,RWBL,DM-2,1/1/2011,5/31/2011,-0.809657683,1,5,SURVIVE,1,1,EGG,BH,Control,Brome,Disk,-0.77353455,0.138608159,-0.243189406,-0.651212254,-0.621484484,0.636754699,0.909693672,-1.079570571,-1.069360963,1.267737417,0.487599532,0.441859906,-0.001935479,1.376946722,-0.030451017,-0.824141242,-0.690729368,0.154625629
2011,DM2-RWBL10,RWBL,DM-2,1/1/2011,6/3/2011,-0.650952855,2,3,SURVIVE,1,1,EGG,BH,Control,Brome,Disk,-0.77353455,0.138608159,-0.243189406,-0.651212254,-0.621484484,0.636754699,0.909693672,-1.079570571,-1.069360963,1.267737417,0.487599532,0.441859906,-0.001935479,1.376946722,-0.030451017,-0.824141242,-0.690729368,0.154625629
2011,DM2-RWBL10,RWBL,DM-2,1/1/2011,6/7/2011,-0.439346418,3,4,SURVIVE,1,1,EGG,BH,Control,Brome,Disk,-0.77353455,0.138608159,-0.243189406,-0.651212254,-0.621484484,0.636754699,0.909693672,-1.079570571,-1.069360963,1.267737417,0.487599532,0.441859906,-0.001935479,1.376946722,-0.030451017,-0.824141242,-0.690729368,0.154625629
2011,DM2-RWBL10,RWBL,DM-2,1/1/2011,6/10/2011,-0.28064159,4,3,SURVIVE,1,1,NTLG,BH,Control,Brome,Disk,-0.77353455,0.138608159,-0.243189406,-0.651212254,-0.621484484,0.636754699,0.909693672,-1.079570571,-1.069360963,1.267737417,0.487599532,0.441859906,-0.001935479,1.376946722,-0.030451017,-0.824141242,-0.690729368,0.154625629
2011,DM2-RWBL10,RWBL,DM-2,1/1/2011,6/13/2011,-0.121936762,5,3,FAIL,0,1,NTLG,BH,Control,Brome,Disk,-0.77353455,0.138608159,-0.243189406,-0.651212254,-0.621484484,0.636754699,0.909693672,-1.079570571,-1.069360963,1.267737417,0.487599532,0.441859906,-0.001935479,1.376946722,-0.030451017,-0.824141242,-0.690729368,0.154625629
2011,DM2-RWBL100,RWBL,DM-2,1/1/2011,6/3/2011,-0.650952855,1,8,FAIL,0,1,EGG,BH,Control,Brome,Disk,-0.08892709,-1.052013801,-0.816872571,-0.651212254,-1.335329548,0.636754699,0.909693672,-1.079570571,-1.069360963,1.267737417,0.487599532,0.441859906,-0.001935479,1.376946722,-0.030451017,-0.824141242,-0.690729368,0.154625629
2011,DM2-RWBL102,RWBL,DM-2,1/1/2011,6/3/2011,-0.650952855,1,4,SURVIVE,1,1,EGG,BH,Control,Brome,Disk,0.305201435,0.447287927,0.091459107,0.20447487,0.885521762,0.636754699,0.909693672,-1.079570571,-1.069360963,1.267737417,0.487599532,0.441859906,-0.001935479,1.376946722,-0.030451017,-0.824141242,-0.690729368,0.154625629
2011,DM2-RWBL102,RWBL,DM-2,1/1/2011,6/7/2011,-0.439346418,2,4,SURVIVE,1,1,EGG,BH,Control,Brome,Disk,0.305201435,0.447287927,0.091459107,0.20447487,0.885521762,0.636754699,0.909693672,-1.079570571,-1.069360963,1.267737417,0.487599532,0.441859906,-0.001935479,1.376946722,-0.030451017,-0.824141242,-0.690729368,0.154625629
2011,DM2-RWBL102,RWBL,DM-2,1/1/2011,6/10/2011,-0.28064159,3,3,FAIL,0,1,EGG,BH,Control,Brome,Disk,0.305201435,0.447287927,0.091459107,0.20447487,0.885521762,0.636754699,0.909693672,-1.079570571,-1.069360963,1.267737417,0.487599532,0.441859906,-0.001935479,1.376946722,-0.030451017,-0.824141242,-0.690729368,0.154625629
