Year,Nest.ID,Spec,Field,Ref,Date,Visit_Interval,expos,Survive (evi),survive,trials,Egg,Landscape,Dist,GRASS,MCM,Julian,Dist.Edge,Nht,Robel,DeadVeg,Forb,Area,PeriAreaR,C.Man,Y.Man,MeanPC1,MeanPC2,SDPC1,Ag.Edge,For.Edge,Grass.100,For.1600,Grass.1600,TE.1600
2011,DM2-MODO1,MODO,DM-2,1/1/2011,5/30/2011,1,4,SURVIVE,1,1,NTLG,BH,Control,Brome,Disk,-0.781743417,-0.215765769,-0.480681631,2.402746925,-0.210456781,3.184438411,0.668733664,0.333502253,-1.170201675,-1.000511137,1.054651991,-0.200285927,0.696148714,0.238437002,0.638871397,0.010722225,-0.786619512,-0.58859708,0.392215941
2011,JN2N-EAME1,EAME,JN-2N,1/1/2011,5/20/2011,1,3,FAIL,0,1,EGG,JN,Control,Brome,Control,-1.379810417,-0.35133924,-0.480681631,-0.032930947,2.148290263,-0.710548686,-0.059917336,0.949131816,-1.170201675,-1.000511137,1.596160557,-0.083964182,-1.182767406,-0.407537324,0.865791822,-0.394871963,1.005416165,-0.484451106,1.421919239
2011,JN2N-EAME2,EAME,JN-2N,1/1/2011,5/20/2011,1,3,SURVIVE,1,1,NTLG,JN,Control,Brome,Control,-1.379810417,-0.642828674,-0.480681631,0.077781684,3.886314401,-0.710548686,-0.059917336,0.949131816,-1.170201675,-1.000511137,1.596160557,-0.083964182,-1.182767406,-0.407537324,0.865791822,-0.394871963,1.005416165,-0.484451106,1.421919239
2011,JN2N-EAME2,EAME,JN-2N,1/1/2011,5/25/2011,2,5,SURVIVE,1,1,NTLG,JN,Control,Brome,Control,-1.080776917,-0.642828674,-0.480681631,0.077781684,3.886314401,-0.710548686,-0.059917336,0.949131816,-1.170201675,-1.000511137,1.596160557,-0.083964182,-1.182767406,-0.407537324,0.865791822,-0.394871963,1.005416165,-0.484451106,1.421919239
2011,JN2N-EAME2,EAME,JN-2N,1/1/2011,5/28/2011,3,3,SURVIVE,1,1,NTLG,JN,Control,Brome,Control,-0.901356817,-0.642828674,-0.480681631,0.077781684,3.886314401,-0.710548686,-0.059917336,0.949131816,-1.170201675,-1.000511137,1.596160557,-0.083964182,-1.182767406,-0.407537324,0.865791822,-0.394871963,1.005416165,-0.484451106,1.421919239
2011,JN2N-EAME2,EAME,JN-2N,1/1/2011,6/1/2011,4,4,SURVIVE,1,1,NTLG,JN,Control,Brome,Control,-0.662130017,-0.642828674,-0.480681631,0.077781684,3.886314401,-0.710548686,-0.059917336,0.949131816,-1.170201675,-1.000511137,1.596160557,-0.083964182,-1.182767406,-0.407537324,0.865791822,-0.394871963,1.005416165,-0.484451106,1.421919239
2011,JS2S-EAME10,EAME,JS-2S,1/1/2011,7/1/2011,1,4,SURVIVE,1,1,EGG,KEW,Control,Brome,Spray,1.132070985,-1.17904109,-0.480681631,0.742057467,-0.831179687,-0.710548686,-2.564169344,1.335761468,-1.170201675,-1.000511137,0.943633973,-0.116035829,-1.249961767,0.960009993,-0.74396485,0.215020006,1.107003458,0.10521381,1.403729263
2011,JS2S-EAME10,EAME,JS-2S,1/1/2011,7/5/2011,2,4,SURVIVE,1,1,NTLG,KEW,Control,Brome,Spray,1.371297785,-1.17904109,-0.480681631,0.742057467,-0.831179687,-0.710548686,-2.564169344,1.335761468,-1.170201675,-1.000511137,0.943633973,-0.116035829,-1.249961767,0.960009993,-0.74396485,0.215020006,1.107003458,0.10521381,1.403729263
2011,JS2S-EAME10,EAME,JS-2S,1/1/2011,7/8/2011,3,3,FAIL,0,1,NTLG,KEW,Control,Brome,Spray,1.550717885,-1.17904109,-0.480681631,0.742057467,-0.831179687,-0.710548686,-2.564169344,1.335761468,-1.170201675,-1.000511137,0.943633973,-0.116035829,-1.249961767,0.960009993,-0.74396485,0.215020006,1.107003458,0.10521381,1.403729263
2011,JS2S-EAME2,EAME,JS-2S,1/1/2011,6/9/2011,1,3,SURVIVE,1,1,EGG,KEW,Control,Brome,Spray,-0.183676416,-1.101278323,-0.480681631,-0.143643577,3.265591495,-0.710548686,-2.564169344,1.335761468,-1.170201675,-1.000511137,0.943633973,-0.116035829,-1.249961767,0.960009993,-0.74396485,0.215020006,1.107003458,0.10521381,1.403729263
