Year,Replicate,Patch,Intensity,Litter.Depth,a.Robel
2021,NE,1,Heavy,24.666666666666668,2.8055555555555554
2021,NE,2,Full,42,4.555555555555555
2021,NE,3,Moderate,48.888888888888886,3.1666666666666665
2021,NE,4,Rest,21.22222222222222,3.6666666666666665
2021,SE,5,Heavy,20.444444444444443,3
2021,SE,6,Full,40.22222222222222,3.0277777777777777
2021,SE,7,Moderate,38.44444444444444,3.1666666666666665
2021,SE,8,Rest,22,4.305555555555555
2021,SW,9,Full,24,4.444444444444445
2021,SW,10,Moderate,28.444444444444443,4.333333333333333
2021,SW,11,Rest,12.333333333333334,5.444444444444445
2021,SW,12,Heavy,25.444444444444443,3.5555555555555554
2021,NW,13,Full,26.333333333333332,3.3333333333333335
2021,NW,14,Moderate,72.44444444444444,4.138888888888889
2021,NW,15,Rest,44.666666666666664,4.055555555555555
2021,NW,16,Heavy,14.666666666666666,2.9722222222222223
2022,NE,1,Rest,15.222222222222221,8.666666666666666
2022,NE,2,Heavy,24.77777777777778,5.722222222222222
2022,NE,3,Full,28.88888888888889,4.75
2022,NE,4,Moderate,36.888888888888886,8.666666666666666
2022,SE,5,Rest,22,8.166666666666666
2022,SE,6,Heavy,19,3.6666666666666665
2022,SE,7,Full,31.88888888888889,4.361111111111111
2022,SE,8,Moderate,64.44444444444444,6.444444444444445
2022,SW,9,Heavy,31.666666666666668,6.416666666666667
2022,SW,10,Full,44,6.861111111111111
2022,SW,11,Moderate,38.44444444444444,7.833333333333333
2022,SW,12,Rest,48.22222222222222,9.472222222222221
2022,NW,13,Heavy,25.333333333333332,4.361111111111111
2022,NW,14,Full,24.11111111111111,5.694444444444445
2022,NW,15,Moderate,59.333333333333336,10.027777777777779
2022,NW,16,Rest,15.333333333333334,9.25
2023,NE,1,Moderate,45.111111111111114,3.75
2023,NE,2,Rest,30.77777777777778,5.333333333333333
2023,NE,3,Heavy,16.666666666666668,2.9166666666666665
2023,NE,4,Full,34.44444444444444,3.25
2023,SE,5,Moderate,12.444444444444445,4.527777777777778
2023,SE,6,Rest,10.11111111111111,3.611111111111111
2023,SE,7,Heavy,13.11111111111111,3.75
2023,SE,8,Full,16.666666666666668,3.7222222222222223
2023,SW,9,Rest,17.11111111111111,5.166666666666667
2023,SW,10,Heavy,12,4.194444444444445
2023,SW,11,Full,18.11111111111111,4.305555555555555
2023,SW,12,Moderate,25.333333333333332,5.166666666666667
2023,NW,13,Rest,18.444444444444443,5.527777777777778
2023,NW,14,Heavy,24.555555555555557,5.194444444444445
2023,NW,15,Full,36.666666666666664,4.166666666666667
2023,NW,16,Moderate,35.111111111111114,4.555555555555555
2024,NE,1,Full,26.444444444444443,3.25
2024,NE,2,Moderate,39.111111111111114,4.944444444444445
2024,NE,3,Rest,38.111111111111114,5.638888888888889
2024,NE,4,Heavy,14.777777777777779,3.638888888888889
2024,SE,5,Full,39.333333333333336,4.055555555555555
2024,SE,6,Moderate,40.666666666666664,4.222222222222222
2024,SE,7,Rest,43.888888888888886,4.694444444444445
2024,SE,8,Heavy,33.44444444444444,3.861111111111111
2024,SW,9,Moderate,65.33333333333333,5
2024,SW,10,Rest,48.22222222222222,5.638888888888889
2024,SW,11,Heavy,37.77777777777778,4.472222222222222
2024,SW,12,Full,42,4.277777777777778
2024,NW,13,Moderate,44,3.5555555555555554
2024,NW,14,Rest,25.666666666666668,6.194444444444445
2024,NW,15,Heavy,17.11111111111111,5.527777777777778
2024,NW,16,Full,19.88888888888889,3.611111111111111
