Year,Transect,Meters,Date,Month,Day,KBG,Smooth.Brome,Litter,Bare,Forb,Grasslike,Woody,Litter.Depth,Veg.Height,R1,R2,R3,R4,Notes,Treatment,Replicate,Patch,Intensity,a.Robel,TotalVegCover
2021,121,0,2021-07-20,07,20,58.87850467289719,0,35.51401869158878,2.803738317757009,2.803738317757009,0,0,12,185,1,2,2,6,,MTORG,SW,9,Full,2.75,107
2021,121,12.5,2021-07-20,07,20,39.175257731958766,0,39.175257731958766,3.0927835051546393,3.0927835051546393,0,15.463917525773196,23,456,3,7,6,2,,MTORG,SW,9,Full,4.5,97
2021,121,25,2021-07-20,07,20,58.333333333333336,0,13.88888888888889,0,13.88888888888889,0,13.88888888888889,13,521,3,4,4,3,,MTORG,SW,9,Full,3.5,108
2021,122,0,2021-07-20,07,20,40.42553191489361,0,40.42553191489361,0,3.1914893617021276,0,15.957446808510639,55,520,4,7,8,9,,MTORG,SW,9,Full,7,94
2021,122,12.5,2021-07-20,07,20,15.306122448979592,0,38.775510204081634,15.306122448979592,15.306122448979592,0,15.306122448979592,0,576,2,4,2,5,,MTORG,SW,9,Full,3.25,98
2021,122,25,2021-07-20,07,20,58.333333333333336,0,13.88888888888889,0,13.88888888888889,0,13.88888888888889,35,520,3,3,4,2,,MTORG,SW,9,Full,3,108
2021,123,0,2021-07-20,07,20,15.151515151515152,3.0303030303030303,63.63636363636363,0,3.0303030303030303,0,15.151515151515152,21,335,2,5,6,4,,MTORG,SW,9,Full,4.25,99
2021,123,12.5,2021-07-20,07,20,34.862385321100916,2.7522935779816518,34.862385321100916,0,13.761467889908257,0,13.761467889908257,21,483,5,5,4,5,,MTORG,SW,9,Full,4.75,109
2021,123,25,2021-07-20,07,20,32.47863247863248,0,32.47863247863248,0,2.564102564102564,0,32.47863247863248,34,603,6,10,5,7,,MTORG,SW,9,Full,7,117
2021,124,0,2021-07-20,07,20,55.88235294117647,0,22.058823529411764,0,0,0,22.058823529411764,35,717,6,8,8,6,,MTORG,SW,10,Moderate,7,68
2021,124,12.5,2021-07-20,07,20,15.625,0,65.625,0,15.625,0,3.125,40,255,7,6,6,9,,MTORG,SW,10,Moderate,7,96
2021,124,25,2021-07-20,07,20,41.75824175824176,0,41.75824175824176,0,16.483516483516482,0,0,45,706,4,4,5,5,,MTORG,SW,10,Moderate,4.5,91
2021,125,0,2021-07-20,07,20,17.857142857142858,0,75,0,3.571428571428571,0,3.571428571428571,23,511,3,5,4,5,,MTORG,SW,10,Moderate,4.25,84
2021,125,12.5,2021-07-20,07,20,65.625,0,15.625,0,15.625,0,3.125,18,311,5,4,3,4,,MTORG,SW,10,Moderate,4,96
2021,125,25,2021-07-20,07,20,39.175257731958766,3.0927835051546393,39.175257731958766,0,15.463917525773196,3.0927835051546393,0,17,336,2,3,3,3,,MTORG,SW,10,Moderate,2.75,97
2021,126,0,2021-07-20,07,20,63.63636363636363,0,15.151515151515152,0,3.0303030303030303,3.0303030303030303,15.151515151515152,35,595,4,3,4,4,,MTORG,SW,10,Moderate,3.75,99
2021,126,12.5,2021-07-20,07,20,57.27272727272727,2.727272727272727,34.54545454545455,0,2.727272727272727,0,2.727272727272727,16,375,5,3,2,3,,MTORG,SW,10,Moderate,3.25,110
2021,126,25,2021-07-20,07,20,35.51401869158878,0,58.87850467289719,0,2.803738317757009,2.803738317757009,0,27,280,2,3,3,2,,MTORG,SW,10,Moderate,2.5,107
2021,127,0,2021-07-20,07,20,15.306122448979592,0,38.775510204081634,15.306122448979592,15.306122448979592,15.306122448979592,0,2,325,1,2,2,2,,MTORG,SW,11,Rest,1.75,98
2021,127,12.5,2021-07-20,07,20,39.175257731958766,0,39.175257731958766,3.0927835051546393,3.0927835051546393,15.463917525773196,0,3,188,2,5,2,2,,MTORG,SW,11,Rest,2.75,97
2021,127,25,2021-07-20,07,20,56.75675675675676,0,13.513513513513514,0,2.7027027027027026,13.513513513513514,13.513513513513514,23,381,2,7,4,4,,MTORG,SW,11,Rest,4.25,111
2021,128,0,2021-07-20,07,20,35.84905660377358,0,14.150943396226415,0,14.150943396226415,0,35.84905660377358,16,689,5,6,6,6,,MTORG,SW,11,Rest,5.75,106
2021,128,12.5,2021-07-20,07,20,32.758620689655174,0,0,0,12.931034482758621,0,54.310344827586206,20,715,6,7,9,7,,MTORG,SW,11,Rest,7.25,116
2021,128,25,2021-07-20,07,20,35.84905660377358,0,14.150943396226415,0,14.150943396226415,0,35.84905660377358,12,772,7,7,9,12,,MTORG,SW,11,Rest,8.75,106
2021,129,0,2021-07-20,07,20,44.18604651162791,17.441860465116278,17.441860465116278,0,3.488372093023256,0,17.441860465116278,15,648,6,4,6,8,,MTORG,SW,11,Rest,6,86
2021,129,12.5,2021-07-20,07,20,65.625,0,15.625,0,15.625,0,3.125,6,325,5,3,3,4,,MTORG,SW,11,Rest,3.75,96
2021,129,25,2021-07-20,07,20,18.072289156626507,0,18.072289156626507,0,18.072289156626507,0,45.78313253012048,14,707,7,5,13,10,,MTORG,SW,11,Rest,8.75,83
